id_pedido,id_cliente,Tipo_vivienda,Dirección,Comuna,Latitud,Longitud,fecha_entrega,día,a_ventana,b_ventana,peso_pedido,volumen_pedido
ORD-CL-202612-000012,11.565.215-0,True,"avenida. grecia 5499, Providencia, Santiago, Chile",Providencia,-33.455199088769,-70.6267947912,2026-12-04,4,540,660,41049,223935
ORD-CL-202612-000013,9933788 - 8,False,"avenida. manuel montt 401, Vitacura, Santiago, Chile",Vitacura,-33.431931186449,-70.618310486018,2026-12-03,3,540,1260,34506,262568
ORD-CL-202612-000014,10.794.720-1,True,"calle san antonio 9747, Puente Alto, Santiago, Chile",Puente Alto,-33.582325485706,-70.5648906359,2026-12-04,4,540,660,73385,393231
ORD-CL-202612-000015,9.347.581-0,False,"calle morande 6751, Estación Central, Santiago, Chile",Estación Central,-33.4593631,-70.6984636,2026-12-03,3,540,1260,74433,266406
ORD-CL-202612-000016,18.460.722-8,True,"avenida. apoquindo 2937, Peñalolén, Santiago, Chile",Peñalolén,-33.417573009696,-70.599221776245,2026-12-06,6,900,1020,41795,247166
ORD-CL-202612-000017,14.945.612-5,True,"avenida. matta 4672, Las Condes, Santiago, Chile",Las Condes,-33.4144312,-70.5570261,2026-12-03,3,1020,1140,6409,22742
ORD-CL-202612-000018,18.484.174-2,True,"calle santo domingo 6604, La Florida, Santiago, Chile",La Florida,-33.570544265011,-70.57625975021,2026-12-04,4,540,660,69952,425140
ORD-CL-202612-000019,15682091-5,False,"avenida. tobalaba 3402, Macul, Santiago, Chile",Macul,-33.519325407174,-70.557669187019,2026-12-03,3,540,1260,238139,2163363
ORD-CL-202612-000020,10.263.868 - 8,True,"avenida. manuel montt 3031, Maipú, Santiago, Chile",Maipú,-33.561645946861,-70.563226017338,2026-12-03,3,900,1020,441534,3905493
ORD-CL-202612-000021,21.785.699-3,True,"avenida. apoquindo 4280, Independencia, Santiago, Chile",Independencia,-33.414511990446,-70.586059274886,2026-12-03,3,780,900,56571,482832
ORD-CL-202612-000022,16.946.891-7,False,"avenida. pajaritos 7516, Maipú, Santiago, Chile",Maipú,-33.471855687276,-70.737613975283,2026-12-03,3,540,1260,130326,929949
ORD-CL-202612-000023,15.460.916-7,True,"calle bandera 7800, Puente Alto, Santiago, Chile",Puente Alto,-33.623400546435,-70.607892130785,2026-12-04,4,540,660,76389,599434
ORD-CL-202612-000024,5335185-2,True,"avenida. apoquindo 5706, La Florida, Santiago, Chile",La Florida,-33.553082864255,-70.610396585839,2026-12-03,3,1140,1260,34907,168810
ORD-CL-202612-000025,22476617-7,False,"calle teatinos 6266, Providencia, Santiago, Chile",Providencia,-33.4323744,-70.6098356,2026-12-03,3,540,1260,132448,1343641
ORD-CL-202612-000026,17.573.126-3,True,"calle san antonio 1509, Providencia, Santiago, Chile",Providencia,-33.437621089834,-70.648432127502,2026-12-03,3,1020,1140,205491,1731742
ORD-CL-202612-000027,7499276 - 7,True,"calle compania de jesus 5241, Providencia, Santiago, Chile",Providencia,-33.438575327266,-70.651712720779,2026-12-03,3,660,780,278701,1718718
ORD-CL-202612-000028,12.883.674 - 1,True,"avenida. irarrazaval 9906, Independencia, Santiago, Chile",Independencia,-33.4223899,-70.6551983,2026-12-05,5,540,660,149152,737742
ORD-CL-202612-000029,22.149.970-6,True,"calle compania de jesus 7303, Independencia, Santiago, Chile",Independencia,-33.439443881362,-70.659929081174,2026-12-04,4,540,660,171365,1487933
ORD-CL-202612-000030,20757511 - 0,True,"avenida. vicuna mackenna 154, Recoleta, Santiago, Chile",Recoleta,-33.448822073217,-70.631656045901,2026-12-04,4,540,660,58504,418820
ORD-CL-202612-000031,14.317.726 - 4,True,"avenida. la florida 1002, Peñalolén, Santiago, Chile",Peñalolén,-33.51012985368,-70.588463232828,2026-12-03,3,1140,1260,391820,2785992
ORD-CL-202612-000032,8395310-4,False,"gran avenida jose miguel carrera 1084, La Florida, Santiago, Chile",La Florida,-33.550430572748,-70.60058055645,2026-12-03,3,540,1260,261691,2217250
ORD-CL-202612-000033,15.022.998-1,True,"avenida. providencia 1687, La Reina, Santiago, Chile",La Reina,-33.602323545217,-70.555843190191,2026-12-02,2,660,780,44655,283872
ORD-CL-202612-000034,18.190.145 - 8,True,"avenida matta 7432, Peñalolén, Santiago, Chile",Peñalolén,-33.491494,-70.563254,2026-12-04,4,540,660,74702,641751
ORD-CL-202612-000035,18489688  -  3,True,"avenida. kennedy 5660, Estación Central, Santiago, Chile",Estación Central,-33.399183664571,-70.575145944257,2026-12-04,4,540,660,15056,90100
ORD-CL-202612-000036,5.882.244-8,True,"calle merced 8895, Quinta Normal, Santiago, Chile",Quinta Normal,-33.4277648,-70.708275,2026-12-04,4,540,660,274983,2221654
ORD-CL-202612-000037,13.872.638-3,True,"calle amunategui 5971, Macul, Santiago, Chile",Macul,-33.439310150229,-70.65673419836,2026-12-04,4,540,660,310168,1918602
ORD-CL-202612-000038,15.199.393-7,True,"avenida. irarrazaval 1804, Maipú, Santiago, Chile",Maipú,-33.453203592464,-70.61231562613,2026-12-04,4,540,660,82968,605934
ORD-CL-202612-000039,6.495.658-2,False,"avenida. tobalaba 9986, Las Condes, Santiago, Chile",Las Condes,-33.429846716196,-70.586179233727,2026-12-03,3,540,1260,379049,3005691
ORD-CL-202612-000040,20473461-3,True,"avenida. libertador bernardo o'higgins 1672, Peñalolén, Santiago, Chile",Peñalolén,-33.446366739047,-70.659795829536,2026-12-04,4,540,660,228325,1215464
ORD-CL-202612-000041,5.884.281-4,True,"avenida. grecia 8422, Peñalolén, Santiago, Chile",Peñalolén,-33.475307433467,-70.544859581431,2026-12-04,4,540,660,215049,1561493
ORD-CL-202612-000042,7133217-9,True,"avenida. departamental 4795, Quinta Normal, Santiago, Chile",Quinta Normal,-33.509816421691,-70.590848385799,2026-12-02,2,1140,1260,400866,3098963
ORD-CL-202612-000043,10469153-4,True,"avenida. la florida 9689, Quinta Normal, Santiago, Chile",Quinta Normal,-33.546747798544,-70.568840558205,2026-12-04,4,540,660,166556,1157260
ORD-CL-202612-000044,14503617-7,False,"avenida. tobalaba 5892, Quinta Normal, Santiago, Chile",Quinta Normal,-33.4277648,-70.708275,2026-12-03,3,540,1260,127681,855742
ORD-CL-202612-000045,7.498.317-5,True,"avenida. apoquindo 7097, Vitacura, Santiago, Chile",Vitacura,-33.408131060846,-70.549230878497,2026-12-03,3,900,1020,10192,31416
ORD-CL-202612-000046,7686773-4,True,"avenida. manuel montt 4785, Providencia, Santiago, Chile",Providencia,-33.446828882884,-70.613882760803,2026-12-04,4,540,660,235991,1141774
ORD-CL-202612-000047,14.175.945  -  6,True,"avenida. pajaritos 3788, La Reina, Santiago, Chile",La Reina,-33.458617911353,-70.713213175,2026-12-04,4,540,660,8764,29983
ORD-CL-202612-000048,7062851 - 9,True,"avenida. las condes 2824, Independencia, Santiago, Chile",Independencia,-33.4223899,-70.6551983,2026-12-04,4,660,780,110769,757876
ORD-CL-202612-000049,11.110.125-3,True,"avenida. grecia 7712, Recoleta, Santiago, Chile",Recoleta,-33.474206444121,-70.550425784295,2026-12-03,3,780,900,488323,3858722
ORD-CL-202612-000050,12.334.420-8,True,"calle teatinos 7022, Providencia, Santiago, Chile",Providencia,-33.4323744,-70.6098356,2026-12-05,5,660,780,357900,3376867
ORD-CL-202612-000051,16.445.432-1,True,"avenida. santa rosa 8652, Peñalolén, Santiago, Chile",Peñalolén,-33.539642757102,-70.634211181113,2026-12-05,5,780,900,85098,659545
ORD-CL-202612-000052,14.976.779  -  6,True,"avenida. irarrazaval 8302, Ñuñoa, Santiago, Chile",Ñuñoa,-33.45361359789,-70.609348172711,2026-12-03,3,780,900,231903,1652580
ORD-CL-202612-000053,17777808-6,True,"avenida. libertador bernardo o'higgins 5746, Santiago, Santiago, Chile",Santiago,-33.45905341466,-70.711806873953,2026-12-04,4,660,780,136555,1127713
ORD-CL-202612-000054,21.577.718-1,True,"gran avenida jose miguel carrera 1092, La Florida, Santiago, Chile",La Florida,,,2026-12-05,5,900,1020,65264,341953
ORD-CL-202612-000055,20.317.971-7,False,"avenida. mapocho 6648, Macul, Santiago, Chile",Macul,-33.423825292576,-70.726285694123,2026-12-03,3,540,1260,56143,224480
ORD-CL-202612-000056,17709152 - 5,True,"calle estado 5634, Estación Central, Santiago, Chile",Estación Central,-33.484124523639,-70.679688741035,2026-12-04,4,660,780,118290,587142
ORD-CL-202612-000057,19.942.029-2,True,"calle bandera 7833, Maipú, Santiago, Chile",Maipú,-33.487640306581,-70.743786669683,2026-12-04,4,660,780,196188,1430081
ORD-CL-202612-000058,11129072 - 4,True,"avenida. departamental 6137, Recoleta, Santiago, Chile",Recoleta,-33.5131,-70.622,2026-12-04,4,660,780,395574,3032717
ORD-CL-202612-000059,9.032.352-7,True,"calle compania de jesus 1673, La Florida, Santiago, Chile",La Florida,-33.439363497023,-70.660485618504,2026-12-05,5,1020,1140,647760,5000096
ORD-CL-202612-000060,19.994.164-4,False,"avenida. macul 7795, Maipú, Santiago, Chile",Maipú,-33.508475878138,-70.561793766934,2026-12-03,3,540,1260,83300,577669
ORD-CL-202612-000061,18051800-7,False,"avenida. manuel montt 5734, Independencia, Santiago, Chile",Independencia,-33.425522,-70.6662152,2026-12-03,3,540,1260,10598,25684
ORD-CL-202612-000062,7640094  -  3,True,"calle san antonio 9379, Lo Prado, Santiago, Chile",Lo Prado,-33.427017413377,-70.725276927827,2026-12-03,3,1140,1260,101555,634531
ORD-CL-202612-000063,9.444.321-7,True,"avenida. mapocho 5244, Vitacura, Santiago, Chile",Vitacura,-33.428027451163,-70.706830206239,2026-12-04,4,660,780,83337,478858
ORD-CL-202612-000064,10.825.499-3,False,"calle teatinos 1289, Independencia, Santiago, Chile",Independencia,-33.444727838885,-70.654178327001,2026-12-02,2,540,1260,143076,944574
ORD-CL-202612-000065,12.508.817-7,True,"avenida. grecia 5637, Recoleta, Santiago, Chile",Recoleta,-33.469250218791,-70.575738491425,2026-12-04,4,660,780,461169,2801701
ORD-CL-202612-000066,9.682.276-0,False,"calle teatinos 5180, Vitacura, Santiago, Chile",Vitacura,-33.3818347,-70.5658306,2026-12-03,3,540,1260,220910,1260176
ORD-CL-202612-000067,12592663  -  1,True,"avenida. santa rosa 1012, Puente Alto, Santiago, Chile",Puente Alto,-33.629961575875,-70.629317175846,2026-12-04,4,660,780,324725,2511639
ORD-CL-202612-000068,16.822.988 - 5,True,"calle teatinos 1540, Providencia, Santiago, Chile",Providencia,-33.4323744,-70.6098356,2026-12-04,4,660,780,314366,2708871
ORD-CL-202612-000069,14331931-2,False,"avenida. pedro de valdivia 8517, Lo Prado, Santiago, Chile",Lo Prado,-33.479984108582,-70.605934872574,2026-12-03,3,540,1260,79170,400368
ORD-CL-202612-000070,16.548.853  -  1,True,"avenida. americo vespucio 6473, Santiago, Santiago, Chile",Santiago,-33.513549875115,-70.591518941437,2026-12-05,5,1140,1260,22641,74644
ORD-CL-202612-000071,21219636-4,True,"avenida. pajaritos 3626, Estación Central, Santiago, Chile",Estación Central,-33.458617911353,-70.713213175,2026-12-03,3,900,1020,197406,1006030
ORD-CL-202612-000072,16.508.612-7,True,"avenida. vitacura 8184, Recoleta, Santiago, Chile",Recoleta,-33.403382850953,-70.595707223231,2026-12-05,5,540,660,290306,2176776
ORD-CL-202612-000073,14.172.902-8,True,"calle arturo prat 4790, La Florida, Santiago, Chile",La Florida,-33.531378344187,-70.591390507771,2026-12-05,5,660,780,73828,657142
ORD-CL-202612-000074,7133217-9,True,"avenida. departamental 4795, Quinta Normal, Santiago, Chile",Quinta Normal,-33.509816421691,-70.590848385799,2026-12-04,4,660,780,164675,1196098
ORD-CL-202612-000075,6.639.530-6,True,"avenida grecia 3963, Las Condes, Santiago, Chile",Las Condes,-33.4144312,-70.5570261,2026-12-05,5,780,900,103453,716363
ORD-CL-202612-000076,21188403-1,True,"calle merced 1295, Recoleta, Santiago, Chile",Recoleta,-33.436856985775,-70.639216119699,2026-12-04,4,660,780,223055,1605694
ORD-CL-202612-000077,22716997-1,True,"calle compania de jesus 386, Peñalolén, Santiago, Chile",Peñalolén,-33.439193269377,-70.658809779914,2026-12-05,5,900,1020,118299,684757
ORD-CL-202612-000078,17126096  -  0,True,"calle santo domingo 1055, Providencia, Santiago, Chile",Providencia,-33.436373629529,-70.652166431757,2026-12-05,5,1020,1140,99569,301533
ORD-CL-202612-000079,11.292.260-5,False,"avenida. irarrazaval 6780, Macul, Santiago, Chile",Macul,-33.45343260721,-70.570883932789,2026-12-03,3,540,1260,37804,201767
ORD-CL-202612-000080,9.212.917-4,True,"gran avenida jose miguel carrera 9844, Quinta Normal, Santiago, Chile",Quinta Normal,-33.550015795008,-70.671594922816,2026-12-05,5,1140,1260,235359,1354136
ORD-CL-202612-000081,5.207.312-2,True,"calle san diego 2452, Estación Central, Santiago, Chile",Estación Central,-33.476064461221,-70.646672678244,2026-12-04,4,660,780,119629,679723
ORD-CL-202612-000082,19.856.952-4,True,"avenida. departamental 2287, La Florida, Santiago, Chile",La Florida,-33.510698018251,-70.579885216044,2026-12-03,3,540,660,96304,481125
ORD-CL-202612-000083,10.469.153-4,True,"avenida. la florida 9689, Quinta Normal, Santiago, Chile",Quinta Normal,-33.546747798544,-70.568840558205,2026-12-04,4,660,780,24411,104833
ORD-CL-202612-000084,20.325.827-9,True,"avenida santa rosa 7174, Providencia, Santiago, Chile",Providencia,-33.451112067767,-70.644328276561,2026-12-04,4,660,780,74783,486004
ORD-CL-202612-000085,15.236.104  -  9,True,"calle teatinos 975, San Miguel, Santiago, Chile",San Miguel,-33.432359116103,-70.655731015577,2026-12-03,3,660,780,206310,1445278
ORD-CL-202612-000086,7383509-4,True,"avenida. matta 4411, Las Condes, Santiago, Chile",Las Condes,-33.4144312,-70.5570261,2026-12-04,4,660,780,274353,1775647
ORD-CL-202612-000087,17107764 - 6,True,"avenida. pajaritos 5796, Independencia, Santiago, Chile",Independencia,-33.460275025924,-70.714726819759,2026-12-03,3,660,780,62264,237597
ORD-CL-202612-000088,7.924.963-1,True,"calle monjitas 7974, Recoleta, Santiago, Chile",Recoleta,-33.435915093122,-70.641996798698,2026-12-03,3,540,660,161207,940815
ORD-CL-202612-000089,17.206.882-4,True,"calle san diego 6019, Macul, Santiago, Chile",Macul,-33.444107404651,-70.651651197417,2026-12-03,3,660,780,144740,653923
ORD-CL-202612-000090,7.599.270-9,True,"avenida. la florida 7983, Macul, Santiago, Chile",Macul,-33.526656936214,-70.577165525823,2026-12-04,4,660,780,119266,891971
ORD-CL-202612-000091,7.910.497-1,True,"avenida. independencia 4637, Providencia, Santiago, Chile",Providencia,-33.385548355946,-70.677329967804,2026-12-03,3,660,780,167541,848647
ORD-CL-202612-000092,16205995-6,True,"avenida. providencia 4727, La Florida, Santiago, Chile",La Florida,-33.514988151619,-70.560514512733,2026-12-03,3,900,1020,131547,892800
ORD-CL-202612-000093,13.453.886-9,False,"calle catedral 2615, Providencia, Santiago, Chile",Providencia,-33.437648932906,-70.654065930895,2026-12-03,3,540,1260,124317,937250
ORD-CL-202612-000094,8447364-0,False,"avenida. irarrazaval 640, Lo Prado, Santiago, Chile",Lo Prado,-33.452857062845,-70.623788495854,2026-12-03,3,540,1260,121338,745546
ORD-CL-202612-000095,14005353-7,False,"calle morande 3761, Quinta Normal, Santiago, Chile",Quinta Normal,-33.434552626656,-70.682596353604,2026-12-03,3,540,1260,23866,76045
ORD-CL-202612-000096,5.260.189-5,False,"calle arturo prat 4852, Independencia, Santiago, Chile",Independencia,-33.546082851298,-70.66065537869,2026-12-03,3,540,1260,188514,1135991
ORD-CL-202612-000097,11044319-2,True,"calle bandera 7702, Ñuñoa, Santiago, Chile",Ñuñoa,-33.461731990549,-70.55674039319,2026-12-04,4,660,780,45213,291538
ORD-CL-202612-000098,14918958 - 0,True,"avenida. apoquindo 3829, La Florida, Santiago, Chile",La Florida,-33.553082864255,-70.610396585839,2026-12-05,5,540,660,137640,804171
ORD-CL-202612-000099,20827561 - 3,True,"avenida. macul 2508, La Reina, Santiago, Chile",La Reina,-33.477646007398,-70.598832986361,2026-12-05,5,660,780,189568,1403114
ORD-CL-202612-000100,21692042 - 6,True,"avenida. las condes 1523, Estación Central, Santiago, Chile",Estación Central,-33.4593631,-70.6984636,2026-12-02,2,900,1020,66528,473768
ORD-CL-202612-000101,16.028.172-6,True,"gran avenida jose miguel carrera 7987, Macul, Santiago, Chile",Macul,-33.526902626554,-70.661638629736,2026-12-06,6,900,1020,38302,194866
ORD-CL-202612-000102,5875859-6,True,"avenida. manuel montt 5607, Las Condes, Santiago, Chile",Las Condes,-33.561639407314,-70.563228123709,2026-12-06,6,900,1020,80783,426261
ORD-CL-202612-000103,22242242 - 0,False,"calle teatinos 7628, Macul, Santiago, Chile",Macul,-33.444727838885,-70.654178327001,2026-12-03,3,540,1260,28536,208250
ORD-CL-202612-000104,19.129.527-8,True,"calle san diego 3767, Lo Prado, Santiago, Chile",Lo Prado,-33.444107404651,-70.651651197417,2026-12-05,5,780,900,28998,258279
ORD-CL-202612-000105,5504653-3,False,"avenida. las condes 6424, Recoleta, Santiago, Chile",Recoleta,-33.40748384033,-70.562677341208,2026-12-02,2,540,1260,50063,342226
ORD-CL-202612-000106,6941496 - 0,True,"calle santo domingo 7909, Independencia, Santiago, Chile",Independencia,-33.538703698916,-70.634754747448,2026-12-05,5,900,1020,367621,2928905
ORD-CL-202612-000107,15.815.165-1,True,"calle santo domingo 9121, Recoleta, Santiago, Chile",Recoleta,-33.437005365752,-70.658601544234,2026-12-03,3,1140,1260,319797,2219156
ORD-CL-202612-000108,9.272.430 - 1,True,"avenida kennedy 3695, La Reina, Santiago, Chile",La Reina,-33.392744547036,-70.555399578071,2026-12-03,3,540,660,31394,230482
ORD-CL-202612-000109,14.004.266 - 5,True,"calle san diego 9520, La Florida, Santiago, Chile",La Florida,-33.534224,-70.583539,2026-12-05,5,1020,1140,36206,193788
ORD-CL-202612-000110,16.111.501-1,True,"avenida. mapocho 2352, Recoleta, Santiago, Chile",Recoleta,-33.432085141083,-70.66711598545,2026-12-04,4,660,780,202656,1450023
ORD-CL-202612-000111,5.802.113 - 4,False,"avenida. las condes 599, San Miguel, Santiago, Chile",San Miguel,-33.518697703122,-70.765408936672,2026-12-03,3,540,1260,255632,2018805
ORD-CL-202612-000112,20.827.561-3,True,"avenida. macul 2508, La Reina, Santiago, Chile",La Reina,-33.477646007398,-70.598832986361,2026-12-03,3,900,1020,246656,1409590
ORD-CL-202612-000113,10793214-1,True,"calle huerfanos 7037, Ñuñoa, Santiago, Chile",Ñuñoa,-33.395502353974,-70.560930909902,2026-12-02,2,660,780,111969,830639
ORD-CL-202612-000114,19513768-2,True,"calle estado 238, Ñuñoa, Santiago, Chile",Ñuñoa,-33.439837914631,-70.649503921461,2026-12-04,4,660,780,205414,1304414
ORD-CL-202612-000115,19.815.475-2,True,"calle san antonio 6514, La Reina, Santiago, Chile",La Reina,-33.427342382924,-70.723913093435,2026-12-03,3,1140,1260,100879,371757
ORD-CL-202612-000116,7380294-6,False,"avenida. libertador bernardo o'higgins 4192, Providencia, Santiago, Chile",Providencia,-33.444087958636,-70.651120539127,2026-12-03,3,540,1260,59343,408974
ORD-CL-202612-000117,7.656.397 - 6,False,"avenida. la florida 777, Estación Central, Santiago, Chile",Estación Central,-33.4593631,-70.6984636,2026-12-02,2,540,1260,129178,1183075
ORD-CL-202612-000118,6.505.448-5,True,"avenida la florida 3026, Santiago, Santiago, Chile",Santiago,-33.400030144708,-70.62680691571,2026-12-03,3,1140,1260,215678,1214056
ORD-CL-202612-000119,6466103 - 7,True,"calle san antonio 7911, Santiago, Santiago, Chile",Santiago,-33.437621089834,-70.648432127502,2026-12-03,3,660,780,123924,728827
ORD-CL-202612-000120,7.396.585-3,True,"avenida. departamental 2586, Macul, Santiago, Chile",Macul,-33.508368922647,-70.608400861186,2026-12-04,4,660,780,65663,332504
ORD-CL-202612-000121,10.213.922-7,False,"calle bandera 3131, Estación Central, Santiago, Chile",Estación Central,-33.4593631,-70.6984636,2026-12-03,3,540,1260,159015,1152351
ORD-CL-202612-000122,5.149.195-4,True,"avenida. santa rosa 5626, San Miguel, Santiago, Chile",San Miguel,-33.518323259504,-70.636743823219,2026-12-03,3,900,1020,73911,322690
ORD-CL-202612-000123,5.257.070 - 1,True,"avenida. macul 1756, Maipú, Santiago, Chile",Maipú,-33.470784016626,-70.598471878247,2026-12-05,5,1140,1260,26613,167473
ORD-CL-202612-000124,20453110-8,True,"avenida. americo vespucio 4961, La Florida, Santiago, Chile",La Florida,-33.527659933794,-70.603555166444,2026-12-04,4,780,900,201606,1508206
ORD-CL-202612-000125,13.728.526 - 8,True,"avenida. mapocho 1404, Ñuñoa, Santiago, Chile",Ñuñoa,-33.432010556237,-70.665504759079,2026-12-04,4,780,900,75044,649948
ORD-CL-202612-000126,22.556.099 - 9,False,"avenida. kennedy 6395, Recoleta, Santiago, Chile",Recoleta,-33.409282908945,-70.604791503124,2026-12-03,3,540,1260,120397,866797
ORD-CL-202612-000127,18879635 - 6,True,"avenida. independencia 8901, Ñuñoa, Santiago, Chile",Ñuñoa,-33.541615110652,-70.638397824965,2026-12-05,5,540,660,159264,994723
ORD-CL-202612-000128,9.763.970-0,True,"calle bandera 9916, Peñalolén, Santiago, Chile",Peñalolén,-33.461731990549,-70.55674039319,2026-12-04,4,780,900,163666,835219
ORD-CL-202612-000129,22.759.622 - 2,True,"avenida. matta 5603, La Reina, Santiago, Chile",La Reina,-33.435425670582,-70.529612883216,2026-12-04,4,780,900,148967,727684
ORD-CL-202612-000130,9.679.989-7,True,"calle san diego 1071, Providencia, Santiago, Chile",Providencia,-33.459233303303,-70.64935681906,2026-12-02,2,900,1020,192000,959125
ORD-CL-202612-000131,17446258-8,True,"avenida. departamental 6863, Providencia, Santiago, Chile",Providencia,-33.510764655935,-70.571297927655,2026-12-04,4,780,900,169681,1177147
ORD-CL-202612-000132,10.814.207-6,True,"avenida. santa rosa 5046, Puente Alto, Santiago, Chile",Puente Alto,-33.632756894603,-70.629956912226,2026-12-04,4,780,900,457326,3394657
ORD-CL-202612-000133,5538773-7,True,"calle teatinos 4659, La Florida, Santiago, Chile",La Florida,-33.534224,-70.583539,2026-12-03,3,660,780,55809,379469
ORD-CL-202612-000134,16.554.800-3,True,"calle estado 7420, San Miguel, Santiago, Chile",San Miguel,-33.4976634,-70.6639494,2026-12-04,4,780,900,205399,1450959
ORD-CL-202612-000135,15301216-5,True,"avenida. vicuna mackenna 8405, Peñalolén, Santiago, Chile",Peñalolén,-33.5344578,-70.5938513,2026-12-03,3,1140,1260,128115,644218
ORD-CL-202612-000136,9255041 - 3,True,"avenida. mapocho 7888, Lo Prado, Santiago, Chile",Lo Prado,-33.423777856888,-70.725998365319,2026-12-04,4,780,900,222421,1931605
ORD-CL-202612-000137,11.669.766 - 7,True,"avenida. kennedy 5651, Independencia, Santiago, Chile",Independencia,-33.401634914616,-70.574191463298,2026-12-04,4,780,900,93849,752142
ORD-CL-202612-000138,6343287 - 3,True,"avenida. grecia 943, Peñalolén, Santiago, Chile",Peñalolén,-33.474027681112,-70.552657722157,2026-12-04,4,780,900,428517,3117453
ORD-CL-202612-000139,16.229.670-1,False,"avenida. pajaritos 9174, La Florida, Santiago, Chile",La Florida,-33.520274836463,-70.578380759473,2026-12-03,3,540,1260,114050,614925
ORD-CL-202612-000140,9810834-8,False,"avenida. apoquindo 8832, Lo Prado, Santiago, Chile",Lo Prado,-33.408131060846,-70.549230878497,2026-12-03,3,540,1260,16676,74669
ORD-CL-202612-000141,14.016.222-5,False,"calle san antonio 2631, La Reina, Santiago, Chile",La Reina,-33.573592517302,-70.815167811234,2026-12-03,3,540,1260,24278,84659
ORD-CL-202612-000142,6304052 - 0,True,"avenida. vitacura 682, Quinta Normal, Santiago, Chile",Quinta Normal,-33.4277648,-70.708275,2026-12-04,4,780,900,201451,1184773
ORD-CL-202612-000143,14.358.394  -  1,False,"avenida. matta 9543, Estación Central, Santiago, Chile",Estación Central,-33.4593631,-70.6984636,2026-12-03,3,540,1260,17982,74223
ORD-CL-202612-000144,21.030.198-9,True,"avenida vitacura 713, Quinta Normal, Santiago, Chile",Quinta Normal,-33.57741801831,-70.653715051982,2026-12-03,3,540,660,24471,195999
ORD-CL-202612-000145,17328690 - 8,True,"avenida. departamental 8533, Ñuñoa, Santiago, Chile",Ñuñoa,-33.5131,-70.622,2026-12-04,4,780,900,298808,2045516
ORD-CL-202612-000146,13.752.238-8,True,"calle estado 9631, Macul, Santiago, Chile",Macul,-33.510822345741,-70.61364324792,2026-12-04,4,780,900,140809,902335
ORD-CL-202612-000147,22.644.999  -  4,True,"calle catedral 9906, Recoleta, Santiago, Chile",Recoleta,-33.43829315557,-70.659886201605,2026-12-05,5,660,780,422364,2918481
ORD-CL-202612-000148,17547435-3,True,"avenida. irarrazaval 2033, Maipú, Santiago, Chile",Maipú,-33.453717970574,-70.609894585108,2026-12-03,3,1020,1140,20717,75060
ORD-CL-202612-000149,16.478.394-3,True,"avenida. las condes 7366, Providencia, Santiago, Chile",Providencia,-33.403158361352,-70.556286373583,2026-12-05,5,780,900,357422,3293159
ORD-CL-202612-000150,10411606 - 1,False,"calle santo domingo 6777, Vitacura, Santiago, Chile",Vitacura,-33.438813009724,-70.685838172926,2026-12-03,3,540,1260,173384,1086861
ORD-CL-202612-000151,14.310.620-8,False,"calle santo domingo 5170, Recoleta, Santiago, Chile",Recoleta,-33.437005365752,-70.658601544234,2026-12-02,2,540,1260,92040,685564
