Vehiculo_Fisico,Secuencia,Cluster_Visitado,Clase_K,Nodo,Direccion,Coordenadas,Distancia_Recorrida_km,Tiempo_Viaje_min,Hora_Llegada,Ventana,Cierre_Relajado,Inicio_Servicio,Tiempo_Servicio_min,Vol_L,Peso_kg,Tiempo_Espera_min,Violacion_Vol,Violacion_Peso,Violacion_Ventana_min,Estado
3,10,4,K12,ORD-CL-202612-000321_17328690  8,"avenida. departamental 8533, Ñuñoa, Santiago, Chile","(-33.5131, -70.6220)",9.33,19.3,16:06,"[15:00, 17:00]",17:15,16:06,5.0,975.5,161.2,0.0,0.0,0.0,0.0,✅
3,11,4,K12,ORD-CL-202612-000153_19928840  1,"calle san diego 1862, Peñalolén, Santiago, Chile","(-33.4711, -70.6484)",6.21,12.8,16:23,"[15:00, 17:00]",17:15,16:23,5.0,332.1,72.3,0.0,0.0,0.0,0.0,✅
3,12,4,K12,ORD-CL-202612-000193_146932034,"calle huerfanos 996, La Florida, Santiago, Chile","(-33.4396, -70.6502)",3.83,7.9,16:36,"[15:00, 17:00]",17:15,16:36,5.0,1393.9,213.7,0.0,0.0,0.0,0.0,✅
3,13,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.02,10.4,16:52,—,—,—,—,—,—,—,0.0,0.0,—,🏠
4,0,5,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:34,—,—,12:34,—,—,—,—,0.0,0.0,—,🚗
4,1,5,K21,ORD-CL-202612-000404_194423943,"avenida americo vespucio 3407, Recoleta, Santiago, Chile","(-33.3773, -70.6550)",11.7,28.4,13:02,"[13:00, 15:00]",15:15,13:02,5.0,1175.2,175.5,0.0,0.0,0.0,0.0,✅
4,2,5,K21,ORD-CL-202612-000334_161293735,"calle estado 1081, Santiago, Santiago, Chile","(-33.4370, -70.7623)",14.51,36.3,13:44,"[13:00, 15:00]",15:15,13:44,5.0,592.2,111.5,0.0,0.0,0.0,0.0,✅
4,3,5,K21,ORD-CL-202612-000262_81640576,"avenida. libertador bernardo o'higgins 4908, San Miguel, Santiago, Chile","(-33.4572, -70.7037)",6.82,16.4,14:05,"[13:00, 15:00]",15:15,14:05,5.0,1132.3,172.0,0.0,0.0,0.0,0.0,✅
4,4,5,K21,ORD-CL-202612-000280_52383897,"calle san diego 9579, Santiago, Santiago, Chile","(-33.4441, -70.6517)",5.1,12.2,14:22,"[13:00, 15:00]",15:15,14:22,5.0,287.1,58.6,0.0,0.0,0.0,0.0,✅
4,5,5,K21,ORD-CL-202612-000104_191295278,"calle san diego 3767, Lo Prado, Santiago, Chile","(-33.4441, -70.6517)",0.0,0.0,14:27,"[13:00, 15:00]",15:15,14:27,5.0,258.3,29.0,0.0,0.0,0.0,0.0,✅
4,6,5,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",4.88,11.1,14:43,—,—,—,—,—,—,—,0.0,0.0,—,🏠
4,7,2,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,18:43,—,—,18:43,—,—,—,—,0.0,0.0,—,🚗
4,8,2,K22,ORD-CL-202612-000202_174462588,"avenida. departamental 6863, Providencia, Santiago, Chile","(-33.5108, -70.5713)",7.98,16.5,19:00,"[19:00, 21:00]",21:15,19:00,5.0,1384.5,162.5,0.0,0.0,0.0,0.0,✅
4,9,2,K22,ORD-CL-202612-000109_14004266  5,"calle san diego 9520, La Florida, Santiago, Chile","(-33.5342, -70.5835)",4.48,9.4,19:14,"[17:00, 19:00]",19:15,19:14,5.0,193.8,36.2,0.0,0.0,0.0,0.0,✅
4,10,2,K22,ORD-CL-202612-000242_18454880  2,"calle huerfanos 4859, Peñalolén, Santiago, Chile","(-33.4915, -70.5633)",6.48,13.8,19:33,"[19:00, 21:00]",21:15,19:33,5.0,858.4,125.1,0.0,0.0,0.0,0.0,✅
4,11,2,K22,ORD-CL-202612-000123_5257070  1,"avenida. macul 1756, Maipú, Santiago, Chile","(-33.4708, -70.5985)",5.36,11.5,19:49,"[19:00, 21:00]",21:15,19:49,5.0,167.5,26.6,0.0,0.0,0.0,0.0,✅
4,12,2,K22,ORD-CL-202612-000433_144587463,"avenida. kennedy 9107, Recoleta, Santiago, Chile","(-33.4093, -70.6048)",7.19,15.3,20:09,"[19:00, 21:00]",21:15,20:09,5.0,647.3,78.2,0.0,0.0,0.0,0.0,✅
4,13,2,K22,ORD-CL-202612-000364_9084968  3,"calle merced 3073, Ñuñoa, Santiago, Chile","(-33.4369, -70.6394)",4.91,10.2,20:25,"[19:00, 21:00]",21:15,20:25,5.0,323.5,40.5,0.0,0.0,0.0,0.0,✅
4,14,2,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",4.32,8.9,20:39,—,—,—,—,—,—,—,0.0,0.0,—,🏠
5,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
5,1,0,K11,ORD-CL-202612-000341_18454880  2,"calle huerfanos 4859, Peñalolén, Santiago, Chile","(-33.4915, -70.5633)",7.86,14.7,09:14,"[09:00, 11:00]",11:15,09:14,5.0,263.9,52.9,0.0,0.0,0.0,0.0,✅
5,2,0,K11,ORD-CL-202612-000248_22296078  0,"avenida macul 7401, Peñalolén, Santiago, Chile","(-33.5085, -70.5619)",2.05,3.8,09:23,"[09:00, 11:00]",11:15,09:23,5.0,1054.1,150.0,0.0,0.0,0.0,0.0,✅
5,3,0,K11,ORD-CL-202612-000127_18879635  6,"avenida. independencia 8901, Ñuñoa, Santiago, Chile","(-33.5416, -70.6384)",9.39,17.6,09:46,"[09:00, 11:00]",11:15,09:46,5.0,994.7,159.3,0.0,0.0,0.0,0.0,✅
5,4,0,K11,ORD-CL-202612-000028_12883674  1,"avenida. irarrazaval 9906, Independencia, Santiago, Chile","(-33.4224, -70.6552)",14.19,27.6,10:18,"[09:00, 11:00]",11:15,10:18,5.0,737.7,149.2,0.0,0.0,0.0,0.0,✅
5,5,0,K11,ORD-CL-202612-000451_127640489,"avenida. independencia 3560, Macul, Santiago, Chile","(-33.3958, -70.6719)",3.41,7.1,10:30,"[09:00, 11:00]",11:15,10:30,5.0,660.5,113.0,0.0,0.0,0.0,0.0,✅
5,6,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",10.28,21.3,10:57,—,—,—,—,—,—,—,0.0,0.0,—,🏠
5,7,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
5,8,4,K12,ORD-CL-202612-000263_13775682    8,"calle monjitas 6910, Puente Alto, Santiago, Chile","(-33.6067, -70.5774)",16.23,34.8,15:34,"[15:00, 17:00]",17:15,15:34,5.0,232.1,62.6,0.0,0.0,0.0,0.0,✅
5,9,4,K12,ORD-CL-202612-000054_215777181,"gran avenida jose miguel carrera 1092, La Florida, Santiago, Chile","(nan, nan)",7.63,15.8,15:55,"[15:00, 17:00]",17:15,15:55,5.0,342.0,65.3,0.0,0.0,0.0,0.0,✅
5,10,4,K12,ORD-CL-202612-000106_6941496  0,"calle santo domingo 7909, Independencia, Santiago, Chile","(-33.5387, -70.6348)",3.89,8.1,16:08,"[15:00, 17:00]",17:15,16:08,5.0,2928.9,367.6,0.0,0.0,0.0,0.0,✅
5,11,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",8.31,17.2,16:30,—,—,—,—,—,—,—,0.0,0.0,—,🏠
6,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
6,1,0,K11,ORD-CL-202612-000186_20328731  5,"avenida. pajaritos 9996, Las Condes, Santiago, Chile","(-33.4586, -70.7132)",9.72,18.2,09:18,"[09:00, 11:00]",11:15,09:18,5.0,2029.1,312.6,0.0,0.0,0.0,0.0,✅
6,2,0,K11,ORD-CL-202612-000352_218539900,"gran avenida jose miguel carrera 3229, Las Condes, Santiago, Chile","(-33.5837, -70.6974)",17.73,33.2,09:56,"[09:00, 11:00]",11:15,09:56,5.0,763.0,131.2,0.0,0.0,0.0,0.0,✅
6,3,0,K11,ORD-CL-202612-000098_14918958  0,"avenida. apoquindo 3829, La Florida, Santiago, Chile","(-33.5531, -70.6104)",10.42,21.0,10:22,"[09:00, 11:00]",11:15,10:22,5.0,804.2,137.6,0.0,0.0,0.0,0.0,✅
6,4,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",9.84,20.4,10:47,—,—,—,—,—,—,—,0.0,0.0,—,🏠
6,5,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
6,6,4,K12,ORD-CL-202612-000238_92272831,"calle santo domingo 1221, Vitacura, Santiago, Chile","(-33.4367, -70.6553)",5.72,12.3,15:12,"[15:00, 17:00]",17:15,15:12,5.0,642.0,114.7,0.0,0.0,0.0,0.0,✅
6,7,4,K12,ORD-CL-202612-000406_14206573  5,"avenida. recoleta 2761, Santiago, Santiago, Chile","(-33.4015, -70.6428)",4.99,10.6,15:27,"[15:00, 17:00]",17:15,15:27,5.0,1421.1,203.2,0.0,0.0,0.0,0.0,✅
6,8,4,K12,ORD-CL-202612-000297_11020590  6,"avenida. libertador bernardo o'higgins 6436, Las Condes, Santiago, Chile","(-33.4133, -70.5747)",9.44,19.8,15:52,"[15:00, 17:00]",17:15,15:52,5.0,986.2,123.1,0.0,0.0,0.0,0.0,✅
6,9,4,K12,ORD-CL-202612-000311_7891477  2,"avenida. providencia 5573, Providencia, Santiago, Chile","(-33.4283, -70.6191)",4.79,9.9,16:07,"[15:00, 17:00]",17:15,16:07,5.0,511.8,118.6,0.0,0.0,0.0,0.0,✅
6,10,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.68,11.7,16:24,—,—,—,—,—,—,—,0.0,0.0,—,🏠
7,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
7,1,0,K11,ORD-CL-202612-000384_220173464,"calle san antonio 4090, Lo Prado, Santiago, Chile","(-33.4270, -70.7253)",13.04,24.5,09:24,"[09:00, 11:00]",11:15,09:24,5.0,1667.4,181.7,0.0,0.0,0.0,0.0,✅
7,2,0,K11,ORD-CL-202612-000366_228057551,"avenida. mapocho 7470, Macul, Santiago, Chile","(-33.4229, -70.7402)",1.68,3.1,09:32,"[09:00, 11:00]",11:15,09:32,5.0,821.9,96.4,0.0,0.0,0.0,0.0,✅
7,3,0,K11,ORD-CL-202612-000398_15558134  2,"avenida. vitacura 5063, Quinta Normal, Santiago, Chile","(-33.3975, -70.5837)",17.13,32.1,10:09,"[09:00, 11:00]",11:15,10:09,5.0,754.5,139.4,0.0,0.0,0.0,0.0,✅
7,4,0,K11,ORD-CL-202612-000289_17734478  7,"avenida. manuel montt 630, La Reina, Santiago, Chile","(-33.4338, -70.6170)",5.68,11.8,10:26,"[09:00, 11:00]",11:15,10:26,5.0,363.4,97.8,0.0,0.0,0.0,0.0,✅
7,5,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.11,10.6,10:42,—,—,—,—,—,—,—,0.0,0.0,—,🏠
7,6,8,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
7,7,8,K12,ORD-CL-202612-000391_19651236  1,"avenida. pajaritos 235, La Reina, Santiago, Chile","(-33.5248, -70.7570)",15.19,32.5,15:32,"[15:00, 17:00]",17:15,15:32,5.0,1409.3,165.9,0.0,0.0,0.0,0.0,✅
7,8,8,K12,ORD-CL-202612-000346_91466929,"avenida pajaritos 2476, Maipú, Santiago, Chile","(-33.5047, -70.7575)",2.23,4.6,15:42,"[15:00, 17:00]",17:15,15:42,5.0,2219.9,332.2,0.0,0.0,0.0,0.0,✅
7,9,8,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",14.71,30.4,16:17,—,—,—,—,—,—,—,0.0,0.0,—,🏠
8,0,7,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,17:00,—,—,17:00,—,—,—,—,0.0,0.0,—,🚗
8,1,7,K22,ORD-CL-202612-000298_14545473    6,"avenida. grecia 6697, San Miguel, Santiago, Chile","(-33.4718, -70.5645)",6.36,13.2,17:13,"[17:00, 19:00]",19:15,17:13,5.0,91.5,27.7,0.0,0.0,0.0,0.0,✅
8,2,7,K22,ORD-CL-202612-000201_13044024  6,"calle estado 8180, Las Condes, Santiago, Chile","(-33.4144, -70.5570)",7.46,15.4,17:33,"[17:00, 19:00]",19:15,17:33,5.0,465.5,84.2,0.0,0.0,0.0,0.0,✅
8,3,7,K22,ORD-CL-202612-000363_221584361,"avenida. apoquindo 7890, Estación Central, Santiago, Chile","(-33.4080, -70.5483)",1.49,3.1,17:41,"[17:00, 19:00]",19:15,17:41,5.0,1350.3,195.8,0.0,0.0,0.0,0.0,✅
8,4,7,K22,ORD-CL-202612-000264_12447358  7,"avenida. las condes 7304, Puente Alto, Santiago, Chile","(-33.4036, -70.5565)",1.19,2.5,17:49,"[17:00, 19:00]",19:15,17:49,5.0,11.3,4.9,0.0,0.0,0.0,0.0,✅
8,5,7,K22,ORD-CL-202612-000312_14092820    9,"avenida. americo vespucio 5192, Vitacura, Santiago, Chile","(-33.3905, -70.5972)",5.03,10.4,18:04,"[17:00, 19:00]",19:15,18:04,5.0,138.9,24.3,0.0,0.0,0.0,0.0,✅
8,6,7,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",11.75,24.3,18:33,—,—,—,—,—,—,—,0.0,0.0,—,🏠
9,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
9,1,0,K11,ORD-CL-202612-000072_165086127,"avenida. vitacura 8184, Recoleta, Santiago, Chile","(-33.4034, -70.5957)",9.46,17.7,09:17,"[09:00, 11:00]",11:15,09:17,5.0,2176.8,290.3,0.0,0.0,0.0,0.0,✅
9,2,0,K11,ORD-CL-202612-000315_7444024  7,"avenida. manuel montt 531, Las Condes, Santiago, Chile","(-33.4331, -70.6176)",4.3,8.1,09:30,"[09:00, 11:00]",11:15,09:30,5.0,317.2,56.9,0.0,0.0,0.0,0.0,✅
9,3,0,K11,ORD-CL-202612-000217_133005299,"calle merced 8147, La Florida, Santiago, Chile","(-33.5342, -70.5835)",13.38,25.1,10:00,"[09:00, 11:00]",11:15,10:00,5.0,769.2,133.3,0.0,0.0,0.0,0.0,✅
9,4,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",9.13,18.6,10:24,—,—,—,—,—,—,—,0.0,0.0,—,🏠
9,5,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
9,6,4,K12,ORD-CL-202612-000282_11677416  6,"calle morande 1655, Quinta Normal, Santiago, Chile","(-33.4346, -70.6826)",8.56,18.3,15:18,"[15:00, 17:00]",17:15,15:18,5.0,775.0,111.3,0.0,0.0,0.0,0.0,✅
9,7,4,K12,ORD-CL-202612-000376_155759597,"avenida. mapocho 4652, Vitacura, Santiago, Chile","(-33.4294, -70.6999)",1.83,3.9,15:27,"[15:00, 17:00]",17:15,15:27,5.0,1249.6,195.3,0.0,0.0,0.0,0.0,✅
9,8,4,K12,ORD-CL-202612-000211_214554757,"calle teatinos 7534, Recoleta, Santiago, Chile","(-33.4447, -70.6542)",5.59,11.7,15:43,"[15:00, 17:00]",17:15,15:43,5.0,1678.5,183.6,0.0,0.0,0.0,0.0,✅
9,9,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.12,10.6,15:59,—,—,—,—,—,—,—,0.0,0.0,—,🏠
10,0,3,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:36,—,—,12:36,—,—,—,—,0.0,0.0,—,🚗
10,1,3,K21,ORD-CL-202612-000075_66395306,"avenida grecia 3963, Las Condes, Santiago, Chile","(-33.4144, -70.5570)",10.89,26.5,13:02,"[13:00, 15:00]",15:15,13:02,5.0,716.4,103.5,0.0,0.0,0.0,0.0,✅
10,2,3,K21,ORD-CL-202612-000371_149759534,"avenida. apoquindo 1014, Vitacura, Santiago, Chile","(-33.4081, -70.5492)",1.39,3.5,13:11,"[13:00, 15:00]",15:15,13:11,5.0,617.2,113.2,0.0,0.0,0.0,0.0,✅
10,3,3,K21,ORD-CL-202612-000476_107932141,"calle huerfanos 7037, Ñuñoa, Santiago, Chile","(-33.3955, -70.5609)",2.27,5.7,13:21,"[13:00, 15:00]",15:15,13:21,5.0,634.0,96.7,0.0,0.0,0.0,0.0,✅
10,4,3,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",12.69,31.5,13:58,—,—,—,—,—,—,—,0.0,0.0,—,🏠
10,5,1,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,17:00,—,—,17:00,—,—,—,—,0.0,0.0,—,🚗
10,6,1,K22,ORD-CL-202612-000284_104633587,"calle monjitas 6053, San Miguel, Santiago, Chile","(-33.4977, -70.6639)",5.76,11.9,17:11,"[17:00, 19:00]",19:15,17:11,5.0,432.2,54.9,0.0,0.0,0.0,0.0,✅
10,7,1,K22,ORD-CL-202612-000226_11169226  3,"avenida. mapocho 4335, Las Condes, Santiago, Chile","(-33.4309, -70.6939)",9.06,18.8,17:35,"[17:00, 19:00]",19:15,17:35,5.0,2767.4,339.3,0.0,0.0,0.0,0.0,✅
10,8,1,K22,ORD-CL-202612-000078_17126096    0,"calle santo domingo 1055, Providencia, Santiago, Chile","(-33.4364, -70.6522)",4.3,8.9,17:49,"[17:00, 19:00]",19:15,17:49,5.0,301.5,99.6,0.0,0.0,0.0,0.0,✅
10,9,1,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.99,12.4,18:06,—,—,—,—,—,—,—,0.0,0.0,—,🏠
