Vehiculo_Fisico,Secuencia,Cluster_Visitado,Clase_K,Nodo,Direccion,Coordenadas,Distancia_Recorrida_km,Tiempo_Viaje_min,Hora_Llegada,Ventana,Inicio_Servicio,Tiempo_Servicio_min,Vol_L,Peso_kg,Tiempo_Espera_min,Violacion_Vol,Violacion_Peso,Violacion_Ventana_min,Estado
2,4,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
2,5,0,K12,ORD-CL-202612-000350_156046228,"calle amunategui 562, Las Condes, Santiago, Chile","(-33.4375, -70.6570)",5.86,12.6,15:12,"[09:00, 21:00]",15:12,5.0,2991.6,336.0,0.0,0.0,0.0,0.0,✅
2,6,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",6.25,13.3,15:30,—,—,—,—,—,—,0.0,0.0,—,🏠
3,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
3,1,0,K11,ORD-CL-202612-000230_150562865,"avenida. independencia 6313, Santiago, Santiago, Chile","(-33.4323, -70.6530)",5.66,10.6,09:10,"[09:00, 11:00]",09:10,5.0,1420.4,179.7,0.0,0.0,0.0,0.0,✅
3,2,0,K11,ORD-CL-202612-000465_153051228,"calle morande 7758, Estación Central, Santiago, Chile","(-33.4594, -70.6985)",6.32,11.8,09:27,"[09:00, 21:00]",09:27,5.0,512.0,185.6,0.0,0.0,0.0,0.0,✅
3,3,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",8.1,15.2,09:47,—,—,—,—,—,—,0.0,0.0,—,🏠
3,4,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
3,5,0,K12,ORD-CL-202612-000059_90323527,"calle compania de jesus 1673, La Florida, Santiago, Chile","(-33.4394, -70.6605)",6.23,13.3,15:13,"[15:00, 17:00]",15:13,5.0,5000.1,647.8,0.0,0.0,0.0,0.0,✅
3,6,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",6.0,12.8,15:31,—,—,—,—,—,—,0.0,0.0,—,🏠
4,0,3,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
4,1,3,K11,ORD-CL-202612-000286_19237467  1,"avenida. kennedy 7565, Peñalolén, Santiago, Chile","(-33.5036, -70.5874)",6.43,12.1,09:12,"[09:00, 21:00]",09:12,5.0,694.2,85.5,0.0,0.0,0.0,0.0,✅
4,2,3,K11,ORD-CL-202612-000248_22296078  0,"avenida macul 7401, Peñalolén, Santiago, Chile","(-33.5085, -70.5619)",2.62,4.9,09:21,"[09:00, 11:00]",09:21,5.0,1054.1,150.0,0.0,0.0,0.0,0.0,✅
4,3,3,K11,ORD-CL-202612-000202_174462588,"avenida. departamental 6863, Providencia, Santiago, Chile","(-33.5108, -70.5713)",1.14,2.1,09:29,"[09:00, 21:00]",09:29,5.0,1384.5,162.5,0.0,0.0,0.0,0.0,✅
4,4,3,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",8.05,15.1,09:49,—,—,—,—,—,—,0.0,0.0,—,🏠
4,5,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
4,6,1,K12,ORD-CL-202612-000289_17734478  7,"avenida. manuel montt 630, La Reina, Santiago, Chile","(-33.4338, -70.6170)",5.34,11.4,15:11,"[09:00, 21:00]",15:11,5.0,363.4,97.8,0.0,0.0,0.0,0.0,✅
4,7,1,K12,ORD-CL-202612-000377_104367164,"avenida. manuel montt 756, Providencia, Santiago, Chile","(-33.4349, -70.6165)",0.12,0.3,15:16,"[15:00, 17:00]",15:16,5.0,2283.1,241.3,0.0,0.0,0.0,0.0,✅
4,8,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.02,10.6,15:32,—,—,—,—,—,—,0.0,0.0,—,🏠
5,0,4,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
5,1,4,K11,ORD-CL-202612-000398_15558134  2,"avenida. vitacura 5063, Quinta Normal, Santiago, Chile","(-33.3975, -70.5837)",10.74,20.1,09:20,"[09:00, 21:00]",09:20,5.0,754.5,139.4,0.0,0.0,0.0,0.0,✅
5,2,4,K11,ORD-CL-202612-000072_165086127,"avenida. vitacura 8184, Recoleta, Santiago, Chile","(-33.4034, -70.5957)",1.29,2.4,09:27,"[09:00, 11:00]",09:27,5.0,2176.8,290.3,0.0,0.0,0.0,0.0,✅
5,3,4,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",9.38,17.6,09:50,—,—,—,—,—,—,0.0,0.0,—,🏠
5,4,2,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
5,5,2,K12,ORD-CL-202612-000321_17328690  8,"avenida. departamental 8533, Ñuñoa, Santiago, Chile","(-33.5131, -70.6220)",5.16,11.1,15:11,"[09:00, 21:00]",15:11,5.0,975.5,161.2,0.0,0.0,0.0,0.0,✅
5,6,2,K12,ORD-CL-202612-000127_18879635  6,"avenida. independencia 8901, Ñuñoa, Santiago, Chile","(-33.5416, -70.6384)",4.54,9.7,15:25,"[09:00, 21:00]",15:25,5.0,994.7,159.3,0.0,0.0,0.0,0.0,✅
5,7,2,K12,ORD-CL-202612-000051_164454321,"avenida. santa rosa 8652, Peñalolén, Santiago, Chile","(-33.5396, -70.6342)",0.67,1.4,15:32,"[09:00, 21:00]",15:32,5.0,659.5,85.1,0.0,0.0,0.0,0.0,✅
5,8,2,K12,ORD-CL-202612-000268_17170812  3,"avenida. santa rosa 5583, Santiago, Santiago, Chile","(-33.5083, -70.6381)",3.54,7.4,15:44,"[09:00, 21:00]",15:44,5.0,430.2,71.4,0.0,0.0,0.0,0.0,✅
5,9,2,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",4.85,10.0,15:59,—,—,—,—,—,—,0.0,0.0,—,🏠
6,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
6,1,0,K11,ORD-CL-202612-000345_13168967    9,"avenida. recoleta 6597, La Reina, Santiago, Chile","(-33.4329, -70.6480)",5.2,9.7,09:09,"[09:00, 11:00]",09:09,5.0,1021.8,166.2,0.0,0.0,0.0,0.0,✅
6,2,0,K11,ORD-CL-202612-000331_21037736    2,"calle compania de jesus 1424, Santiago, Santiago, Chile","(-33.4391, -70.6570)",1.76,3.3,09:18,"[09:00, 11:00]",09:18,5.0,583.1,112.9,0.0,0.0,0.0,0.0,✅
6,3,0,K11,ORD-CL-202612-000396_86524643,"avenida. irarrazaval 228, Estación Central, Santiago, Chile","(-33.4771, -70.6914)",6.56,12.3,09:35,"[09:00, 11:00]",09:35,5.0,669.7,114.1,0.0,0.0,0.0,0.0,✅
6,4,0,K11,ORD-CL-202612-000193_146932034,"calle huerfanos 996, La Florida, Santiago, Chile","(-33.4396, -70.6502)",7.06,13.2,09:53,"[09:00, 11:00]",09:53,5.0,1393.9,213.7,0.0,0.0,0.0,0.0,✅
6,5,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.02,10.0,10:08,—,—,—,—,—,—,0.0,0.0,—,🏠
6,6,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
6,7,0,K12,ORD-CL-202612-000394_61279374,"avenida. recoleta 3894, Recoleta, Santiago, Chile","(-33.4283, -70.6468)",5.69,12.2,15:12,"[09:00, 21:00]",15:12,5.0,1442.3,312.2,0.0,0.0,0.0,0.0,✅
6,8,0,K12,ORD-CL-202612-000404_194423943,"avenida americo vespucio 3407, Recoleta, Santiago, Chile","(-33.3773, -70.6550)",6.33,13.5,15:30,"[09:00, 21:00]",15:30,5.0,1175.2,175.5,0.0,0.0,0.0,0.0,✅
6,9,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",11.76,24.5,16:00,—,—,—,—,—,—,0.0,0.0,—,🏠
7,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
7,1,0,K11,ORD-CL-202612-000211_214554757,"calle teatinos 7534, Recoleta, Santiago, Chile","(-33.4447, -70.6542)",5.12,9.6,09:09,"[09:00, 11:00]",09:09,5.0,1678.5,183.6,0.0,0.0,0.0,0.0,✅
7,2,0,K11,ORD-CL-202612-000238_92272831,"calle santo domingo 1221, Vitacura, Santiago, Chile","(-33.4367, -70.6553)",1.17,2.2,09:16,"[09:00, 11:00]",09:16,5.0,642.0,114.7,0.0,0.0,0.0,0.0,✅
7,3,0,K11,ORD-CL-202612-000078_17126096    0,"calle santo domingo 1055, Providencia, Santiago, Chile","(-33.4364, -70.6522)",0.78,1.5,09:23,"[09:00, 11:00]",09:23,5.0,301.5,99.6,0.0,0.0,0.0,0.0,✅
7,4,0,K11,ORD-CL-202612-000159_224497742,"avenida. pajaritos 6316, Providencia, Santiago, Chile","(-33.4668, -70.7285)",8.99,16.9,09:45,"[09:00, 11:00]",09:45,5.0,359.9,77.2,0.0,0.0,0.0,0.0,✅
7,5,0,K11,ORD-CL-202612-000451_127640489,"avenida. independencia 3560, Macul, Santiago, Chile","(-33.3958, -70.6719)",12.22,23.7,10:13,"[09:00, 11:00]",10:13,5.0,660.5,113.0,0.0,0.0,0.0,0.0,✅
7,6,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",10.28,21.3,10:40,—,—,—,—,—,—,0.0,0.0,—,🏠
7,7,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
7,8,4,K12,ORD-CL-202612-000407_184856263,"calle monjitas 5985, Vitacura, Santiago, Chile","(-33.3818, -70.5658)",13.32,28.6,15:28,"[09:00, 21:00]",15:28,5.0,4642.5,534.6,0.0,0.0,0.0,0.0,✅
7,9,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",13.23,27.7,16:01,—,—,—,—,—,—,0.0,0.0,—,🏠
8,0,2,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
8,1,2,K11,ORD-CL-202612-000098_14918958  0,"avenida. apoquindo 3829, La Florida, Santiago, Chile","(-33.5531, -70.6104)",9.56,17.9,09:17,"[09:00, 21:00]",09:17,5.0,804.2,137.6,0.0,0.0,0.0,0.0,✅
8,2,2,K11,ORD-CL-202612-000284_104633587,"calle monjitas 6053, San Miguel, Santiago, Chile","(-33.4977, -70.6639)",9.46,17.7,09:40,"[09:00, 21:00]",09:40,5.0,432.2,54.9,0.0,0.0,0.0,0.0,✅
8,3,2,K11,ORD-CL-202612-000352_218539900,"gran avenida jose miguel carrera 3229, Las Condes, Santiago, Chile","(-33.5837, -70.6974)",11.42,21.8,10:07,"[09:00, 21:00]",10:07,5.0,763.0,131.2,0.0,0.0,0.0,0.0,✅
8,4,2,K11,ORD-CL-202612-000054_215777181,"gran avenida jose miguel carrera 1092, La Florida, Santiago, Chile","(nan, nan)",11.62,24.0,10:36,"[09:00, 21:00]",10:36,5.0,342.0,65.3,0.0,0.0,0.0,0.0,✅
8,5,2,K11,ORD-CL-202612-000080_92129174,"gran avenida jose miguel carrera 9844, Quinta Normal, Santiago, Chile","(-33.5500, -70.6716)",7.14,15.0,10:56,"[11:00, 13:00]",11:00,5.0,1354.1,235.4,3.5,0.0,0.0,0.0,⏳
8,6,2,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",11.09,24.6,11:29,—,—,—,—,—,—,0.0,0.0,—,🏠
8,7,9,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
8,8,9,K12,ORD-CL-202612-000360_107728946,"avenida. pajaritos 1016, San Miguel, Santiago, Chile","(-33.5178, -70.7575)",15.12,32.4,15:32,"[09:00, 21:00]",15:32,5.0,605.2,73.5,0.0,0.0,0.0,0.0,✅
8,9,9,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",15.41,32.1,16:09,—,—,—,—,—,—,0.0,0.0,—,🏠
9,0,4,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
9,1,4,K11,ORD-CL-202612-000363_221584361,"avenida. apoquindo 7890, Estación Central, Santiago, Chile","(-33.4080, -70.5483)",12.16,22.8,09:22,"[09:00, 11:00]",09:22,5.0,1350.3,195.8,0.0,0.0,0.0,0.0,✅
9,2,4,K11,ORD-CL-202612-000312_14092820    9,"avenida. americo vespucio 5192, Vitacura, Santiago, Chile","(-33.3905, -70.5972)",5.64,10.6,09:38,"[09:00, 21:00]",09:38,5.0,138.9,24.3,0.0,0.0,0.0,0.0,✅
9,3,4,K11,ORD-CL-202612-000371_149759534,"avenida. apoquindo 1014, Vitacura, Santiago, Chile","(-33.4081, -70.5492)",6.39,12.1,09:55,"[09:00, 11:00]",09:55,5.0,617.2,113.2,0.0,0.0,0.0,0.0,✅
9,4,4,K11,ORD-CL-202612-000433_144587463,"avenida. kennedy 9107, Recoleta, Santiago, Chile","(-33.4093, -70.6048)",5.72,11.5,10:11,"[09:00, 11:00]",10:11,5.0,647.3,78.2,0.0,0.0,0.0,0.0,✅
9,5,4,K11,ORD-CL-202612-000476_107932141,"calle huerfanos 7037, Ñuñoa, Santiago, Chile","(-33.3955, -70.5609)",5.06,10.5,10:27,"[11:00, 13:00]",11:00,5.0,634.0,96.7,32.6,0.0,0.0,0.0,⏳
9,6,4,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",12.69,28.1,11:33,—,—,—,—,—,—,0.0,0.0,—,🏠
9,7,3,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
9,8,3,K12,ORD-CL-202612-000492_58051649,"avenida. departamental 4173, La Reina, Santiago, Chile","(-33.5123, -70.5511)",9.86,21.1,15:21,"[15:00, 17:00]",15:21,5.0,693.9,95.7,0.0,0.0,0.0,0.0,✅
9,9,3,K12,ORD-CL-202612-000215_215424995,"avenida. pajaritos 8543, La Florida, Santiago, Chile","(-33.5203, -70.5784)",3.26,6.9,15:33,"[15:00, 17:00]",15:33,5.0,392.5,71.9,0.0,0.0,0.0,0.0,✅
9,10,3,K12,ORD-CL-202612-000109_14004266  5,"calle san diego 9520, La Florida, Santiago, Chile","(-33.5342, -70.5835)",2.91,6.1,15:44,"[15:00, 17:00]",15:44,5.0,193.8,36.2,0.0,0.0,0.0,0.0,✅
9,11,3,K12,ORD-CL-202612-000070_16548853    1,"avenida. americo vespucio 6473, Santiago, Santiago, Chile","(-33.5135, -70.5915)",3.02,6.2,15:55,"[15:00, 17:00]",15:55,5.0,74.6,22.6,0.0,0.0,0.0,0.0,✅
9,12,3,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",6.87,14.2,16:14,—,—,—,—,—,—,0.0,0.0,—,🏠
10,0,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
10,1,1,K11,ORD-CL-202612-000207_70999443,"avenida. pedro de valdivia 2536, Providencia, Santiago, Chile","(-33.4458, -70.6060)",4.56,8.6,09:08,"[09:00, 11:00]",09:08,5.0,401.3,85.3,0.0,0.0,0.0,0.0,✅
10,2,1,K11,ORD-CL-202612-000315_7444024  7,"avenida. manuel montt 531, Las Condes, Santiago, Chile","(-33.4331, -70.6176)",2.25,4.2,09:17,"[09:00, 11:00]",09:17,5.0,317.2,56.9,0.0,0.0,0.0,0.0,✅
10,3,1,K11,ORD-CL-202612-000311_7891477  2,"avenida. providencia 5573, Providencia, Santiago, Chile","(-33.4283, -70.6191)",0.87,1.6,09:24,"[11:00, 13:00]",11:00,5.0,511.8,118.6,95.6,0.0,0.0,0.0,⏳
10,4,1,K11,ORD-CL-202612-000338_6894716  3,"avenida. pedro de valdivia 1787, Ñuñoa, Santiago, Chile","(-33.4523, -70.6050)",3.41,7.6,11:12,"[13:00, 15:00]",13:00,5.0,2389.2,361.4,107.4,0.0,0.0,0.0,⏳
10,5,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",3.86,9.6,13:14,—,—,—,—,—,—,0.0,0.0,—,🏠
10,6,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
10,7,0,K12,ORD-CL-202612-000206_14073763  2,"calle monjitas 403, Recoleta, Santiago, Chile","(-33.4359, -70.6420)",4.7,10.1,15:10,"[15:00, 17:00]",15:10,5.0,1937.9,328.6,0.0,0.0,0.0,0.0,✅
10,8,0,K12,ORD-CL-202612-000153_19928840  1,"calle san diego 1862, Peñalolén, Santiago, Chile","(-33.4711, -70.6484)",4.76,10.2,15:25,"[09:00, 21:00]",15:25,5.0,332.1,72.3,0.0,0.0,0.0,0.0,✅
10,9,0,K12,ORD-CL-202612-000280_52383897,"calle san diego 9579, Santiago, Santiago, Chile","(-33.4441, -70.6517)",3.16,6.6,15:36,"[09:00, 21:00]",15:36,5.0,287.1,58.6,0.0,0.0,0.0,0.0,✅
10,10,0,K12,ORD-CL-202612-000301_183703627,"avenida. libertador bernardo o'higgins 2384, Independencia, Santiago, Chile","(-33.4458, -70.6602)",0.81,1.7,15:43,"[09:00, 21:00]",15:43,5.0,779.9,86.9,0.0,0.0,0.0,0.0,✅
10,11,0,K12,ORD-CL-202612-000104_191295278,"calle san diego 3767, Lo Prado, Santiago, Chile","(-33.4441, -70.6517)",0.82,1.7,15:50,"[17:00, 19:00]",17:00,5.0,258.3,29.0,69.7,0.0,0.0,0.0,⏳
10,12,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",4.88,10.1,17:15,—,—,—,—,—,—,0.0,0.0,—,🏠
11,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
11,1,0,K11,ORD-CL-202612-000186_20328731  5,"avenida. pajaritos 9996, Las Condes, Santiago, Chile","(-33.4586, -70.7132)",9.72,18.2,09:18,"[13:00, 15:00]",13:00,5.0,2029.1,312.6,221.8,0.0,0.0,0.0,⏳
11,2,0,K11,ORD-CL-202612-000262_81640576,"avenida. libertador bernardo o'higgins 4908, San Miguel, Santiago, Chile","(-33.4572, -70.7037)",0.94,2.4,13:07,"[13:00, 15:00]",13:07,5.0,1132.3,172.0,0.0,0.0,0.0,0.0,✅
11,3,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",8.83,22.1,13:34,—,—,—,—,—,—,0.0,0.0,—,🏠
11,4,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
11,5,4,K12,ORD-CL-202612-000256_11863822    2,"avenida. apoquindo 793, Ñuñoa, Santiago, Chile","(-33.4109, -70.5317)",13.57,29.1,15:29,"[15:00, 17:00]",15:29,5.0,887.5,154.3,0.0,0.0,0.0,0.0,✅
11,6,4,K12,ORD-CL-202612-000297_11020590  6,"avenida. libertador bernardo o'higgins 6436, Las Condes, Santiago, Chile","(-33.4133, -70.5747)",4.86,10.2,15:44,"[15:00, 17:00]",15:44,5.0,986.2,123.1,0.0,0.0,0.0,0.0,✅
11,7,4,K12,ORD-CL-202612-000201_13044024  6,"calle estado 8180, Las Condes, Santiago, Chile","(-33.4144, -70.5570)",2.03,4.2,15:53,"[09:00, 21:00]",15:53,5.0,465.5,84.2,0.0,0.0,0.0,0.0,✅
11,8,4,K12,ORD-CL-202612-000235_5662885  2,"calle arturo prat 9631, Las Condes, Santiago, Chile","(-33.4089, -70.5380)",2.24,4.6,16:03,"[09:00, 21:00]",16:03,5.0,692.0,95.4,0.0,0.0,0.0,0.0,✅
11,9,4,K12,ORD-CL-202612-000075_66395306,"avenida grecia 3963, Las Condes, Santiago, Chile","(-33.4144, -70.5570)",2.27,4.7,16:12,"[17:00, 19:00]",17:00,5.0,716.4,103.5,47.3,0.0,0.0,0.0,⏳
11,10,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",10.83,22.4,17:27,—,—,—,—,—,—,0.0,0.0,—,🏠
12,0,9,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
12,1,9,K11,ORD-CL-202612-000391_19651236  1,"avenida. pajaritos 235, La Reina, Santiago, Chile","(-33.5248, -70.7570)",15.19,28.5,09:28,"[09:00, 11:00]",09:28,5.0,1409.3,165.9,0.0,0.0,0.0,0.0,✅
12,2,9,K11,ORD-CL-202612-000346_91466929,"avenida pajaritos 2476, Maipú, Santiago, Chile","(-33.5047, -70.7575)",2.23,4.2,09:37,"[13:00, 15:00]",13:00,5.0,2219.9,332.2,202.3,0.0,0.0,0.0,⏳
12,3,9,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",14.71,36.8,13:41,—,—,—,—,—,—,0.0,0.0,—,🏠
12,4,6,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
12,5,6,K12,ORD-CL-202612-000242_18454880  2,"calle huerfanos 4859, Peñalolén, Santiago, Chile","(-33.4915, -70.5633)",7.86,16.8,15:16,"[15:00, 17:00]",15:16,5.0,858.4,125.1,0.0,0.0,0.0,0.0,✅
12,6,6,K12,ORD-CL-202612-000298_14545473    6,"avenida. grecia 6697, San Miguel, Santiago, Chile","(-33.4718, -70.5645)",2.96,6.3,15:28,"[15:00, 17:00]",15:28,5.0,91.5,27.7,0.0,0.0,0.0,0.0,✅
12,7,6,K12,ORD-CL-202612-000099_20827561  3,"avenida. macul 2508, La Reina, Santiago, Chile","(-33.4776, -70.5988)",4.09,8.5,15:41,"[15:00, 17:00]",15:41,5.0,1403.1,189.6,0.0,0.0,0.0,0.0,✅
12,8,6,K12,ORD-CL-202612-000341_18454880  2,"calle huerfanos 4859, Peñalolén, Santiago, Chile","(-33.4915, -70.5633)",4.86,10.1,15:56,"[19:00, 21:00]",19:00,5.0,263.9,52.9,183.3,0.0,0.0,0.0,⏳
12,9,6,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",8.14,17.0,19:22,—,—,—,—,—,—,0.0,0.0,—,🏠
13,0,7,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
13,1,7,K11,ORD-CL-202612-000218_12725879    1,"avenida. mapocho 6728, Lo Prado, Santiago, Chile","(-33.4238, -70.7277)",13.1,24.6,09:24,"[13:00, 15:00]",13:00,5.0,1670.2,208.9,215.4,0.0,0.0,0.0,⏳
13,2,7,K11,ORD-CL-202612-000384_220173464,"calle san antonio 4090, Lo Prado, Santiago, Chile","(-33.4270, -70.7253)",0.55,1.4,13:06,"[13:00, 15:00]",13:06,5.0,1667.4,181.7,0.0,0.0,0.0,0.0,✅
13,3,7,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",13.04,32.6,13:43,—,—,—,—,—,—,0.0,0.0,—,🏠
13,4,8,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
13,5,8,K12,ORD-CL-202612-000356_88277359,"avenida. pajaritos 4700, Macul, Santiago, Chile","(-33.4789, -70.7432)",12.34,26.4,15:26,"[19:00, 21:00]",19:00,5.0,1230.0,168.3,213.6,0.0,0.0,0.0,⏳
13,6,8,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",12.53,26.3,19:31,—,—,—,—,—,—,0.0,0.0,—,🏠
14,0,8,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
14,1,8,K11,ORD-CL-202612-000304_8829317  5,"avenida. providencia 4618, La Reina, Santiago, Chile","(-33.4830, -70.7438)",12.44,23.3,09:23,"[09:00, 21:00]",09:23,5.0,1735.7,214.1,0.0,0.0,0.0,0.0,✅
